PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,TEMP_RANGE,FIRE_START_DAY,SEASON_Fall,SEASON_Spring,SEASON_Summer,SEASON_Winter
0.0,15.0,4.444444444444445,2.4006048,10.555555555555555,False,0,1,0,0
0.0,20.0,13.333333333333334,4.6000416,6.666666666666666,True,0,1,0,0
0.0,20.0,10.0,5.69976,10.0,False,0,1,0,0
0.0,19.444444444444443,6.666666666666667,2.101088,12.777777777777777,False,0,0,0,1
0.0,22.22222222222222,16.666666666666668,4.202176,5.555555555555554,True,0,0,1,0
0.0,16.666666666666668,10.555555555555555,4.6000416,6.1111111111111125,False,0,0,0,1
0.0,23.33333333333333,17.22222222222222,3.5003232,6.111111111111111,False,0,0,1,0
0.0,19.444444444444443,13.88888888888889,2.7984704,5.555555555555554,False,0,0,0,1
0.0,17.22222222222222,8.88888888888889,2.1994368,8.333333333333332,False,0,0,0,1
0.0,21.666666666666668,10.0,1.6987519999999998,11.666666666666668,False,0,0,0,1
0.0,23.33333333333333,13.333333333333334,1.9982688,9.999999999999998,False,0,0,0,1
0.0,22.22222222222222,17.77777777777778,4.001008,4.444444444444443,False,1,0,0,0
0.0,24.444444444444443,19.444444444444443,3.8981888,5.0,True,0,0,1,0
0.0,16.666666666666668,13.333333333333334,4.0993568,3.333333333333334,True,0,1,0,0
0.0,23.33333333333333,11.11111111111111,1.89992,12.22222222222222,False,0,0,0,1
0.0,25.55555555555556,20.0,4.3988736,5.555555555555557,False,0,0,1,0
0.0,18.88888888888889,12.22222222222222,2.4989536,6.666666666666668,False,1,0,0,0
0.0,19.444444444444443,11.666666666666666,8.1003648,7.777777777777777,True,0,1,0,0
0.0,26.11111111111111,12.77777777777778,2.101088,13.333333333333332,True,1,0,0,0
0.0,17.22222222222222,13.88888888888889,2.9012896,3.333333333333332,False,0,1,0,0
0.0,21.666666666666668,17.22222222222222,3.2991552,4.444444444444446,False,1,0,0,0
4.571999999999999,15.555555555555555,7.222222222222222,3.8981888,8.333333333333332,False,0,0,0,1
0.0,20.0,15.0,4.001008,5.0,False,0,1,0,0
0.0,16.11111111111111,11.11111111111111,2.6017728,5.0,False,0,0,0,1
14.477999999999998,17.77777777777778,11.666666666666666,3.0979872,6.1111111111111125,False,0,0,0,1
0.0,23.33333333333333,18.33333333333333,3.4019744000000003,5.0,True,0,0,1,0
