MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,temp_range,daily_precip,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,YEAR_SINCE_2000,LINEAR_TEMP_TREND,YEAR_MONTH_INDEX,YEAR_SQUARED
20.6,10.9,3.3,9.700000000000001,1.7096774193548387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-43,-0.7310000000000001,-506,1849
15.5,6.8,3.7,8.7,1.3900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-43,-0.7310000000000001,-505,1849
8.5,0.2,4.2,8.3,1.8935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-43,-0.7310000000000001,-504,1849
3.7,-4.8,5.4,8.5,1.4580645161290324,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-503,1764
8.2,-0.5,2.1,8.7,0.65,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-502,1764
12.1,2.0,4.1,10.1,0.7419354838709677,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-501,1764
16.5,8.0,4.0,8.5,3.8433333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-500,1764
22.4,12.3,3.8,10.099999999999998,0.964516129032258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-499,1764
25.7,17.2,3.3,8.5,3.546666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-498,1764
28.0,21.2,3.2,6.800000000000001,7.919354838709677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-497,1764
26.6,20.6,3.3,6.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-42,-0.7140000000000001,-496,1764
23.5,17.5,3.7,6.0,6.0633333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-42,-0.7140000000000001,-495,1764
18.7,10.6,3.8,8.1,4.009677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-42,-0.7140000000000001,-494,1764
14.1,6.9,4.2,7.199999999999999,3.8133333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-42,-0.7140000000000001,-493,1764
11.2,3.6,3.9,7.6,2.6903225806451614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-42,-0.7140000000000001,-492,1764
4.2,-4.4,4.9,8.600000000000001,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-491,1681
8.4,2.1,5.1,6.300000000000001,4.746428571428572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-490,1681
12.6,4.4,4.4,8.2,2.2580645161290325,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-489,1681
17.3,8.2,4.1,9.100000000000001,3.603333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-488,1681
23.3,13.7,3.9,9.600000000000001,1.7870967741935484,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-487,1681
24.5,17.4,3.4,7.100000000000001,4.5600000000000005,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-486,1681
28.8,21.7,3.4,7.100000000000001,4.054838709677419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-485,1681
29.7,22.8,4.5,6.899999999999999,4.34516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-41,-0.6970000000000001,-484,1681
24.6,18.9,4.0,5.700000000000003,7.803333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-41,-0.6970000000000001,-483,1681
21.6,12.4,3.2,9.200000000000001,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-41,-0.6970000000000001,-482,1681
14.8,6.4,3.9,8.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-41,-0.6970000000000001,-481,1681
8.2,0.8,4.6,7.3999999999999995,2.1870967741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-41,-0.6970000000000001,-480,1681
5.4,-3.5,5.0,8.9,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-479,1600
10.1,0.6,4.7,9.5,1.3785714285714286,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-478,1600
12.4,4.6,4.4,7.800000000000001,1.4709677419354839,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-477,1600
16.9,8.0,4.0,8.899999999999999,1.7066666666666668,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-476,1600
21.7,13.3,4.0,8.399999999999999,4.732258064516128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-475,1600
26.2,17.8,4.1,8.399999999999999,1.59,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-474,1600
30.1,22.5,2.9,7.600000000000001,3.393548387096774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-40,-0.68,-473,1600
30.5,23.2,4.2,7.300000000000001,1.038709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-40,-0.68,-472,1600
25.2,18.4,3.2,6.800000000000001,10.153333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-40,-0.68,-471,1600
20.5,12.9,3.9,7.6,3.3193548387096774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-40,-0.68,-470,1600
15.3,6.7,3.6,8.600000000000001,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-40,-0.68,-469,1600
6.6,-1.6,4.7,8.2,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-40,-0.68,-468,1600
3.9,-4.5,3.5,8.4,0.267741935483871,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-467,1521
7.0,-1.9,4.0,8.9,0.8642857142857142,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-466,1521
12.6,4.1,4.6,8.5,3.916129032258065,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-465,1521
18.6,9.2,4.9,9.400000000000002,1.9033333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-464,1521
23.1,13.5,3.6,9.600000000000001,3.458064516129032,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-463,1521
25.5,17.9,2.7,7.600000000000001,1.0933333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-462,1521
30.4,23.3,3.2,7.099999999999998,7.083870967741936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-39,-0.663,-461,1521
29.9,22.6,2.8,7.299999999999997,8.59032258064516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-39,-0.663,-460,1521
26.1,18.9,3.2,7.200000000000003,5.406666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-39,-0.663,-459,1521
20.7,14.5,4.4,6.199999999999999,7.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-39,-0.663,-458,1521
15.2,7.8,4.3,7.3999999999999995,3.8133333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-39,-0.663,-457,1521
8.3,-0.1,4.7,8.4,3.5806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-39,-0.663,-456,1521
4.6,-2.9,4.8,7.5,0.9225806451612903,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-455,1444
8.3,-0.8,4.4,9.100000000000001,0.16785714285714287,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-454,1444
11.8,1.9,4.6,9.9,1.1096774193548387,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-453,1444
17.2,7.5,4.1,9.7,1.93,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-452,1444
24.4,13.8,3.7,10.599999999999998,0.996774193548387,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-451,1444
25.0,16.1,2.9,8.899999999999999,1.5033333333333334,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-450,1444
28.6,21.3,3.1,7.300000000000001,3.0870967741935487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-38,-0.646,-449,1444
29.9,22.0,3.6,7.899999999999999,7.461290322580646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-38,-0.646,-448,1444
24.4,17.6,3.3,6.799999999999997,6.1899999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-38,-0.646,-447,1444
20.2,11.5,3.0,8.7,1.3548387096774193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-38,-0.646,-446,1444
12.4,5.6,5.0,6.800000000000001,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-38,-0.646,-445,1444
9.5,1.5,4.1,8.0,0.42903225806451617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-38,-0.646,-444,1444
0.5,-7.8,6.8,8.3,0.1064516129032258,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-443,1369
6.4,-3.1,5.6,9.5,0.049999999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-442,1369
11.3,2.3,5.2,9.0,1.0419354838709676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-441,1369
15.5,6.9,5.4,8.6,3.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-440,1369
20.4,11.3,4.0,9.099999999999998,2.8129032258064517,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-439,1369
21.9,15.2,4.7,6.699999999999999,12.466666666666667,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-438,1369
28.8,21.5,4.0,7.300000000000001,5.951612903225806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-37,-0.629,-437,1369
29.1,22.2,3.6,6.900000000000002,6.070967741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-37,-0.629,-436,1369
25.3,17.2,3.8,8.100000000000001,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-37,-0.629,-435,1369
20.3,10.7,2.7,9.600000000000001,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-37,-0.629,-434,1369
15.0,5.6,4.0,9.4,0.26333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-37,-0.629,-433,1369
9.7,0.6,5.0,9.1,0.4612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-37,-0.629,-432,1369
7.2,-0.1,4.7,7.3,2.5258064516129033,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36,-0.6120000000000001,-431,1296
4.4,-2.9,5.0,7.300000000000001,4.246428571428572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36,-0.6120000000000001,-430,1296
