지점,지점명,일시,평균최고기온(°C),평균최저기온(°C),월합강수량(00~24h만)(mm),평균풍속(m/s)
115,울릉도,1938-08,,,105.2,
115,울릉도,1938-09,22.7,17.9,153.1,4.5
115,울릉도,1938-10,18.2,13.6,81.6,5.6
115,울릉도,1938-11,11.6,6.4,196.1,5.7
115,울릉도,1938-12,5.6,.7,70.3,4.6
115,울릉도,1939-01,2.8,-2.5,87.5,4.7
115,울릉도,1939-02,3.1,-1.6,134.8,4.6
115,울릉도,1939-03,7.3,1.6,89.8,5.2
115,울릉도,1939-04,13.7,8,36.7,6.2
115,울릉도,1939-05,17.2,11.3,49.7,6.2
115,울릉도,1939-06,22.6,16.6,51.1,6.4
115,울릉도,1939-07,28.5,22,8.6,5.7
115,울릉도,1939-08,27.3,22.6,56.5,5.1
115,울릉도,1939-09,24.7,19.3,158.8,4
115,울릉도,1939-10,19.3,13.8,146.4,5.6
115,울릉도,1939-11,12.6,7.4,174.7,5.4
115,울릉도,1939-12,7.1,1.3,23.6,4.9
115,울릉도,1940-01,.1,-4.4,229.2,5.1
115,울릉도,1940-02,2.7,-2.2,91.5,6.1
115,울릉도,1940-03,8.7,1.6,38.9,5.5
115,울릉도,1940-04,13.4,6.4,126.3,7.6
115,울릉도,1940-05,20,12.6,51.7,7.2
115,울릉도,1940-06,21.5,15.5,92.7,5
115,울릉도,1940-07,24.7,19.7,191.1,8.3
115,울릉도,1940-08,25.8,20.4,33.7,4.1
115,울릉도,1940-09,21.8,16.7,140.1,6.5
115,울릉도,1940-10,19.5,13.9,82.9,5
115,울릉도,1940-11,14.2,8.6,63.2,5.4
115,울릉도,1940-12,7.8,2.4,179.9,5.4
115,울릉도,1941-01,5.3,-.8,105.2,4.7
115,울릉도,1941-02,4.7,-1.4,57,4.9
115,울릉도,1941-03,9.4,2.4,48.3,6.9
115,울릉도,1941-04,13.2,6.4,33.6,7.8
115,울릉도,1941-05,17.7,11.6,76.8,5
115,울릉도,1941-06,21.3,15.7,108.1,6.5
115,울릉도,1941-07,21.7,17.5,119.1,5.4
115,울릉도,1941-08,24.9,20.7,108.2,5.2
115,울릉도,1941-09,21.6,16.8,129.8,4.5
115,울릉도,1941-10,18.3,12.4,81.2,6.7
115,울릉도,1941-11,13.6,8.5,127.6,5.2
115,울릉도,1941-12,8.5,2.9,131.1,5.1
115,울릉도,1942-01,1.9,-3,231.7,5.1
115,울릉도,1942-02,2.4,-2.5,89.4,5.1
115,울릉도,1942-03,10.3,3.6,135.4,7.2
115,울릉도,1942-04,14.3,7.8,55.9,8.3
115,울릉도,1942-05,17,11.3,23.5,6
115,울릉도,1942-06,24,17.6,33.3,4.9
115,울릉도,1942-07,30,23.1,32.1,5.1
115,울릉도,1942-08,26.4,21.5,311.2,4.8
115,울릉도,1942-09,22.7,17.6,338.2,4.8
115,울릉도,1942-10,18.2,12.4,28.3,4.5
115,울릉도,1942-11,11.9,6,88.9,5.2
115,울릉도,1942-12,5.8,1,332.3,5.4
115,울릉도,1943-01,2.2,-3.3,121.6,4.4
115,울릉도,1943-02,3.9,-1.4,40.4,6.1
115,울릉도,1943-03,7.5,2.3,80.1,5.6
115,울릉도,1943-04,12.9,6.6,27.4,6.2
115,울릉도,1943-05,18,11.8,25.7,6
115,울릉도,1943-06,21.7,16.1,85.1,5.2
115,울릉도,1943-07,24.5,19.9,206.5,5.1
115,울릉도,1943-08,28.6,23.4,23.1,4.7
115,울릉도,1943-09,23.3,18.6,243.4,4.4
115,울릉도,1943-10,18.6,12.6,244,4.1
115,울릉도,1943-11,12.4,6.3,75.7,5.2
115,울릉도,1943-12,8.2,2.3,48,5.5
115,울릉도,1944-01,4,-1.1,130.7,4.2
115,울릉도,1944-02,2.9,-2.4,116.5,5.5
115,울릉도,1944-03,7.3,1.4,82.9,5.5
115,울릉도,1944-04,12.5,6,149.8,5.3
115,울릉도,1944-05,19.2,11.6,21,5.5
115,울릉도,1944-06,23.3,16.7,17.8,4.8
115,울릉도,1944-07,26.6,20.8,100.5,5.4
115,울릉도,1944-08,28.6,22.3,35.7,5.4
115,울릉도,1944-09,23.6,18.1,233.8,4.1
115,울릉도,1944-10,18.8,12.8,17.9,4.7
115,울릉도,1944-11,13.1,7.7,204.8,6
115,울릉도,1944-12,2.6,-2.4,249.3,4.2
115,울릉도,1945-01,-.6,-4.9,163.4,3.8
115,울릉도,1945-02,.6,-3.9,144,4.1
115,울릉도,1945-03,6.8,1,92.5,4.8
115,울릉도,1945-04,15.3,7.3,40,6
115,울릉도,1945-05,16,9.5,84.2,6.4
115,울릉도,1945-06,20.9,14.8,330.4,4.6
115,울릉도,1945-07,22.9,17.6,274.8,4.2
115,울릉도,1945-08,27.9,22.2,39.3,4.5
115,울릉도,1945-09,22.8,17.9,257.2,3.2
115,울릉도,1945-10,17.8,11.9,195.4,5.9
115,울릉도,1945-11,13.7,8,21.6,5.2
115,울릉도,1945-12,5.8,-.5,80.1,4.6
115,울릉도,1946-01,4.8,-1.9,83.7,4.6
115,울릉도,1946-02,5.1,-1.8,67,5.7
115,울릉도,1946-03,5.8,.1,106.7,5.7
115,울릉도,1946-04,15.3,8.1,42.6,7.3
115,울릉도,1946-05,17.6,11.7,65.4,5.3
115,울릉도,1946-06,23.2,17.3,317.3,5
115,울릉도,1946-07,26.4,21.4,33.7,4.6
115,울릉도,1946-08,27.8,22.8,111.5,4.5
115,울릉도,1946-09,23.9,18.2,170.4,3.7
115,울릉도,1946-10,19.3,12.7,62,4.5
115,울릉도,1946-11,14.6,9,132.9,4.6
115,울릉도,1946-12,4.4,-.8,180.8,4.9
115,울릉도,1947-01,2.8,-1.8,191.4,5.1
115,울릉도,1947-02,.6,-4.2,176.7,3.9
115,울릉도,1947-03,6.7,0,64.8,4.7
115,울릉도,1947-04,14.3,7.2,31.5,6.3
115,울릉도,1947-05,18.5,10.6,43.2,4.6
115,울릉도,1947-06,19.5,12.9,159.2,3.7
115,울릉도,1947-07,23.6,18.1,119.5,7.1
115,울릉도,1947-08,27.3,21.1,26.9,5.5
115,울릉도,1947-09,22.6,16.5,170.1,4.7
115,울릉도,1947-10,16.5,10.7,80.8,5.2
115,울릉도,1947-11,10.8,4.2,26.6,4.9
115,울릉도,1947-12,3.2,-2.7,69.3,4.1
115,울릉도,1948-01,3,-2.9,38.4,5.5
115,울릉도,1948-02,4.6,-2.4,19.3,4
115,울릉도,1948-03,6.7,.2,54.2,5.8
115,울릉도,1948-04,14.8,7.7,95.2,6.1
115,울릉도,1948-05,19.6,12.6,100.5,4.9
115,울릉도,1948-06,21.7,15.9,138.8,4.6
115,울릉도,1948-07,24.7,19.9,214.5,5.8
115,울릉도,1948-08,26.4,21.3,217.4,3.8
115,울릉도,1948-09,23.1,17.3,120.7,3.7
115,울릉도,1948-10,18.9,13.1,160.5,3.8
115,울릉도,1948-11,13.4,7.2,84.2,3.5
115,울릉도,1948-12,10.1,4.3,180.6,6
115,울릉도,1949-01,5.4,-.3,97.5,4
115,울릉도,1949-02,5.4,.2,53.4,5.9
115,울릉도,1949-03,7.7,1,41,5.4
115,울릉도,1949-04,13.5,6.1,31.4,5.9
115,울릉도,1949-05,19.7,13.2,65,5.8
115,울릉도,1949-06,19.4,14.1,248.9,4.4
115,울릉도,1949-07,23.5,18.2,50.6,3.3
115,울릉도,1949-08,28.5,22.5,59.3,3.1
115,울릉도,1949-09,24,17.9,161.6,3.9
115,울릉도,1949-10,18.4,12.5,68.8,3.3
115,울릉도,1949-11,12.6,6.5,76.9,4.1
115,울릉도,1949-12,6.9,.9,133.2,3.9
115,울릉도,1950-01,5.6,-.2,223.2,4
115,울릉도,1950-02,3.9,-1.1,110.6,4.4
115,울릉도,1950-03,8.5,1.9,61.3,4
115,울릉도,1950-04,15.1,8.4,36.3,3.5
115,울릉도,1950-05,20.1,13.2,106.9,3.7
115,울릉도,1950-06,21.8,15.7,128.5,3.3
115,울릉도,1950-07,26,21.5,106,5.5
115,울릉도,1950-08,28.9,22.7,66.6,2.6
115,울릉도,1950-09,22.5,17.1,351.3,4.7
115,울릉도,1950-10,18.2,12.7,75.8,3.9
115,울릉도,1950-11,12.3,6.4,168.4,4.8
115,울릉도,1950-12,5.7,0,140.2,4
115,울릉도,1951-01,3.3,-1.5,238.8,3.5
115,울릉도,1951-02,4.9,.2,117.2,4.8
115,울릉도,1951-03,8.2,1.6,118.8,4.5
115,울릉도,1951-04,13.6,7.6,102.5,3.5
115,울릉도,1951-05,19.7,12.8,45.7,4
115,울릉도,1951-06,23.1,16.3,38.1,4.6
115,울릉도,1951-07,25.6,19.7,54.1,5
115,울릉도,1951-08,30,23.5,34,4.9
115,울릉도,1951-09,24.1,17.5,88.9,3.2
115,울릉도,1951-10,19.7,13.1,143.2,4.6
115,울릉도,1951-11,12.5,6.7,263.3,4.1
115,울릉도,1951-12,9.2,3.6,178.3,4.3
115,울릉도,1952-01,3.7,-.7,174.4,3.6
115,울릉도,1952-02,2.1,-2.2,156,3.9
115,울릉도,1952-03,7.8,2,70.2,4.5
115,울릉도,1952-04,14.1,8,55.1,5.5
115,울릉도,1952-05,19.2,11.9,17.7,4.7
115,울릉도,1952-06,22.9,16.9,21.2,4.2
115,울릉도,1952-07,24.4,19.9,229.1,3.5
115,울릉도,1952-08,25.9,20.8,114.4,3.8
115,울릉도,1952-09,22.9,17.3,67.9,4.1
115,울릉도,1952-10,18.4,11.9,73.9,3.5
115,울릉도,1952-11,13.4,8,149.5,4.6
115,울릉도,1952-12,5.6,1,227.5,4.4
115,울릉도,1953-01,2.8,-1.7,281.5,5
115,울릉도,1953-02,3.7,-.8,90.8,4.5
115,울릉도,1953-03,9,3.3,132.1,5.9
115,울릉도,1953-04,13.5,6.9,96,5.4
115,울릉도,1953-05,17.4,12.1,72.4,5.7
115,울릉도,1953-06,20.4,15.8,269.2,4.3
115,울릉도,1953-07,24.5,20,200.6,4.5
115,울릉도,1953-08,26.8,21.7,79.9,4.2
115,울릉도,1953-09,23.5,17.9,139.1,3.2
115,울릉도,1953-10,20.6,14.4,86,3.3
115,울릉도,1953-11,11.5,5.6,157.6,5
115,울릉도,1953-12,8.3,3.5,249.8,4.5
115,울릉도,1954-01,4.7,.3,267.8,5
115,울릉도,1954-02,5.4,.8,143.7,5.4
115,울릉도,1954-03,8.4,2.4,125.6,5.5
115,울릉도,1954-04,14,7.6,115.7,4.8
115,울릉도,1954-05,18.4,12,45.2,5.7
115,울릉도,1954-06,18.6,13.8,182.4,3.8
115,울릉도,1954-07,21.7,17.6,268.3,3.6
115,울릉도,1954-08,26.7,21.9,131.8,3.9
115,울릉도,1954-09,24.3,18.9,139.4,4.5
115,울릉도,1954-10,17.5,11.4,121.5,4
115,울릉도,1954-11,15.1,9.1,115.4,5
115,울릉도,1954-12,7.2,2,250.5,4.8
115,울릉도,1955-01,3.1,-2.3,345.4,4.5
115,울릉도,1955-02,6,-.1,144.2,5.9
115,울릉도,1955-03,8.4,2.2,64.8,4.7
115,울릉도,1955-04,13.7,7,100.7,6.6
115,울릉도,1955-05,18.4,11.9,114.6,4.4
115,울릉도,1955-06,23.1,17.1,103.5,4.7
115,울릉도,1955-07,26,21.3,47.1,6.4
115,울릉도,1955-08,27.7,21.1,57,4.1
115,울릉도,1955-09,23,17.6,358.2,4.2
115,울릉도,1955-10,17.3,11.8,101.3,4.8
115,울릉도,1955-11,12.6,6.2,116.2,3.9
115,울릉도,1955-12,9.3,3.3,76.3,3.5
115,울릉도,1956-01,3.3,-1.6,181.7,4.5
115,울릉도,1956-02,3.1,-2.1,182.2,4.8
115,울릉도,1956-03,6.5,1.4,229.9,5.2
115,울릉도,1956-04,13.2,6.7,76.8,6.2
115,울릉도,1956-05,18.7,12.5,103.2,5.6
115,울릉도,1956-06,20.8,14.9,237.1,4.4
115,울릉도,1956-07,24.7,19.3,99.8,4.1
115,울릉도,1956-08,26.6,20.5,244.4,4
115,울릉도,1956-09,23.3,17.9,146.7,3.4
115,울릉도,1956-10,18.3,11.7,53.8,3.5
115,울릉도,1956-11,11.1,5.1,90.7,4.3
115,울릉도,1956-12,3.7,-1.2,120.7,4.6
115,울릉도,1957-01,4.8,-.9,124.2,4.2
115,울릉도,1957-02,2.1,-3.5,67.8,5.3
115,울릉도,1957-03,5.7,-.9,56,5.5
115,울릉도,1957-04,14.7,7.7,142,5.2
115,울릉도,1957-05,18.9,12.7,50.7,4.9
115,울릉도,1957-06,21.3,15.2,17.1,4.1
115,울릉도,1957-07,22.9,18.5,289.6,4.9
115,울릉도,1957-08,24.4,19.6,145,3.6
115,울릉도,1957-09,22.6,15.8,91.8,3
115,울릉도,1957-10,18.6,11.9,138.8,4.6
115,울릉도,1957-11,14.1,8.1,15.9,4.7
115,울릉도,1957-12,7.6,2.1,146.2,4.3
115,울릉도,1958-01,3.9,-2.4,92.6,4.9
115,울릉도,1958-02,5.8,.1,88.8,4.9
115,울릉도,1958-03,8.9,1.9,65.5,4.9
115,울릉도,1958-04,13.8,7.6,186.6,6.2
115,울릉도,1958-05,19.1,11.8,48.2,5.4
115,울릉도,1958-06,22.9,16.6,65.5,3.5
115,울릉도,1958-07,25.3,19.9,149.5,4
115,울릉도,1958-08,25.4,20.4,96.4,3.1
115,울릉도,1958-09,22.7,16.8,194.7,3.2
115,울릉도,1958-10,17.9,11.6,318.6,3.2
115,울릉도,1958-11,12.4,7.3,157.4,4
115,울릉도,1958-12,10.3,4.5,181.3,4.1
115,울릉도,1959-01,3.4,-2.1,305.4,4.4
115,울릉도,1959-02,6.8,1.4,143.2,5.5
115,울릉도,1959-03,10.4,4.1,118.9,4.8
115,울릉도,1959-04,14,8,102.2,6.2
115,울릉도,1959-05,19.8,12.7,137.7,5.1
115,울릉도,1959-06,21.8,15.7,76.6,3.3
115,울릉도,1959-07,25.9,20.2,285.1,4.2
115,울릉도,1959-08,27.1,22,123.8,4.5
115,울릉도,1959-09,23.6,18.6,152.6,3.8
115,울릉도,1959-10,20.2,13.6,19.6,3.2
115,울릉도,1959-11,13.5,7.5,150.9,4.4
115,울릉도,1959-12,7.5,2.8,230.1,4.3
115,울릉도,1960-01,4,-1.6,189.7,4.3
115,울릉도,1960-02,6.9,1.5,120.8,5.3
115,울릉도,1960-03,9.3,2.6,89.8,5.2
115,울릉도,1960-04,13.4,6.4,71.4,4.9
115,울릉도,1960-05,18.6,12.4,189.4,4.8
115,울릉도,1960-06,21.8,15.8,111.7,4.8
115,울릉도,1960-07,26.2,20.6,130.5,2.6
115,울릉도,1960-08,29.1,22.8,45.3,4.1
115,울릉도,1960-09,24.2,18.3,318.1,3.7
115,울릉도,1960-10,18.9,12.7,167.1,3.5
115,울릉도,1960-11,14.1,7.9,188,3.7
115,울릉도,1960-12,5.4,.5,245.4,4.1
115,울릉도,1961-01,2.4,-2.4,194.6,3.5
115,울릉도,1961-02,4.1,-1.6,77.5,3.9
115,울릉도,1961-03,9.4,3.2,99.8,4.7
115,울릉도,1961-04,14.3,7.3,80.8,5.7
115,울릉도,1961-05,19.6,13,144.2,5.5
115,울릉도,1961-06,22.7,16.8,70.1,3
115,울릉도,1961-07,27.1,21.9,40.8,5.6
115,울릉도,1961-08,28,22,211.8,4
115,울릉도,1961-09,24.3,18.9,115.5,3.9
115,울릉도,1961-10,19.1,13.7,212.5,5
115,울릉도,1961-11,14.3,8.5,194.7,4.7
115,울릉도,1961-12,7.4,2.2,183.8,4.7
115,울릉도,1962-01,2.7,-1.2,345.9,3.6
115,울릉도,1962-02,4.8,0,95.8,4
115,울릉도,1962-03,7.9,1.8,81.1,5.6
115,울릉도,1962-04,13.6,7.2,97.5,5.7
115,울릉도,1962-05,20.3,13,24.5,5.2
115,울릉도,1962-06,21.3,14.8,68.3,3.6
115,울릉도,1962-07,26.1,20.8,55.2,4.1
115,울릉도,1962-08,27,21.1,186.3,4.4
115,울릉도,1962-09,22.6,16.9,187.2,3.9
115,울릉도,1962-10,18.5,11.3,64.4,2.6
115,울릉도,1962-11,10.9,5.3,178.4,4.7
115,울릉도,1962-12,8,1.8,43.8,4.2
115,울릉도,1963-01,-1.1,-5.9,234.3,4.6
115,울릉도,1963-02,2,-3.1,66.1,4.6
115,울릉도,1963-03,7.3,1.2,75.4,5.6
115,울릉도,1963-04,12.2,5.8,133.4,6.9
115,울릉도,1963-05,17.2,10.2,79.6,4.9
115,울릉도,1963-06,20.2,14.2,175.9,5
115,울릉도,1963-07,25.3,19.7,291.1,5.6
115,울릉도,1963-08,26.4,21.5,98.5,2.9
115,울릉도,1963-09,23,17,47,3.7
115,울릉도,1963-10,17.7,11.5,63.4,3.7
115,울릉도,1963-11,13,7.2,50.8,3.9
115,울릉도,1963-12,8.5,2.3,57.7,4.4
115,울릉도,1964-01,5.2,0,64.1,4.5
115,울릉도,1964-02,1.6,-2.9,94.1,4.6
115,울릉도,1964-03,8.1,1.6,66.4,4.7
115,울릉도,1964-04,13,5.9,207.1,4.5
115,울릉도,1964-05,20.1,12.8,97,4.3
115,울릉도,1964-06,21.7,15.5,167.3,4
115,울릉도,1964-07,25.9,20.2,195.2,5.1
115,울릉도,1964-08,28.5,22.7,135.8,4.2
115,울릉도,1964-09,22.7,16.9,198.9,3.4
115,울릉도,1964-10,18.4,12.1,43.7,2.8
115,울릉도,1964-11,12.1,6.6,82.2,4.6
115,울릉도,1964-12,7.2,2.2,75.9,4.4
115,울릉도,1965-01,3.9,-1.2,88.6,4.4
115,울릉도,1965-02,4.1,-1.3,54.2,4.3
115,울릉도,1965-03,6.9,.9,52,5.8
115,울릉도,1965-04,12.3,5.3,34.5,4.3
115,울릉도,1965-05,18.5,12.4,35,6.6
115,울릉도,1965-06,22,16,22.2,4.4
115,울릉도,1965-07,23.5,18.9,202.7,4.7
115,울릉도,1965-08,26.8,21.7,108.3,4.7
115,울릉도,1965-09,23.1,17.4,36.7,4.7
115,울릉도,1965-10,18.8,12.6,48.8,4.1
115,울릉도,1965-11,12.9,7,126.8,6.6
115,울릉도,1965-12,6.4,.3,76.8,4.8
115,울릉도,1966-01,3.6,-2.3,18.3,4.2
115,울릉도,1966-02,5.9,-.8,42.3,6.1
115,울릉도,1966-03,7.3,2,125,5.3
115,울릉도,1966-04,13.4,6.7,58.2,4.9
115,울릉도,1966-05,19.7,12.5,41.5,6
115,울릉도,1966-06,20.8,15.1,62.7,4.5
115,울릉도,1966-07,25,19.8,152.8,5.8
115,울릉도,1966-08,28.4,23.2,63.5,4.6
115,울릉도,1966-09,21.5,16.3,194,4.3
115,울릉도,1966-10,18.1,13,137.3,4.4
115,울릉도,1966-11,13.1,6.3,151.5,4.5
115,울릉도,1966-12,5.1,0,156.5,4.4
115,울릉도,1967-01,2.9,-2.5,103.3,4.6
115,울릉도,1967-02,3.8,-1.6,113.8,4.9
115,울릉도,1967-03,9.6,3.6,61.2,5.1
115,울릉도,1967-04,13.2,7.4,95.6,6
115,울릉도,1967-05,21,13.6,30.8,5.2
115,울릉도,1967-06,21.8,15.8,104.5,3.8
115,울릉도,1967-07,25.9,20.4,111.5,4.1
115,울릉도,1967-08,29.8,23.9,54.1,3.1
115,울릉도,1967-09,22.1,16.9,153.7,4.4
115,울릉도,1967-10,18.4,12.9,47,4
115,울릉도,1967-11,12.5,6.5,192.4,4.5
115,울릉도,1967-12,3.2,-1.7,42.4,4.2
115,울릉도,1968-01,3.5,-1.8,63.3,4.7
115,울릉도,1968-02,1.3,-3.5,32.3,4.5
115,울릉도,1968-03,9.2,2.8,9.5,5.2
115,울릉도,1968-04,15.2,8,32.2,4.1
115,울릉도,1968-05,17.1,11.2,113.5,4
115,울릉도,1968-06,22.6,15.5,31.9,3.4
115,울릉도,1968-07,26,20.5,160.9,3.9
115,울릉도,1968-08,25.5,20.6,165.7,4.2
115,울릉도,1968-09,22.6,17.5,61.2,3.5
115,울릉도,1968-10,16.8,10.8,123.9,4.3
115,울릉도,1968-11,14.1,7.4,64.5,3.9
115,울릉도,1968-12,8.7,3.3,77.8,5.2
115,울릉도,1969-01,2.8,-2.2,88,4.9
115,울릉도,1969-02,1.9,-2.6,60.3,5.4
115,울릉도,1969-03,6.2,.6,24.6,5.1
115,울릉도,1969-04,13.8,6.2,67.5,6
115,울릉도,1969-05,18.8,11.8,97.4,5.9
115,울릉도,1969-06,22.2,15.5,59.4,4.5
115,울릉도,1969-07,25.3,19.9,80,5.6
115,울릉도,1969-08,27.8,21.9,100.2,4
115,울릉도,1969-09,22.6,16.9,125.2,3.6
115,울릉도,1969-10,17.6,12,13.9,4.1
115,울릉도,1969-11,11.3,5.8,98.6,4.9
115,울릉도,1969-12,5.6,-.4,66.3,4.4
115,울릉도,1970-01,2.4,-2.3,128.3,4.3
115,울릉도,1970-02,5.5,-.3,31.6,4.2
115,울릉도,1970-03,5.2,-1,65,3.9
115,울릉도,1970-04,13.2,6.1,19.1,4.5
115,울릉도,1970-05,18.5,12.2,145.9,4
115,울릉도,1970-06,20.3,14.8,79.4,3.9
115,울릉도,1970-07,24.7,19.5,193.6,4.9
115,울릉도,1970-08,26.8,21.5,101.3,3.8
115,울릉도,1970-09,23.5,18.2,120.3,3.9
115,울릉도,1970-10,18.9,12.9,183.6,3.7
115,울릉도,1970-11,11.8,6,92.1,4.7
115,울릉도,1970-12,6.8,1.1,76.6,3.8
115,울릉도,1971-01,4.1,-1.1,62.6,4.9
115,울릉도,1971-02,3,-1.2,84.1,4.2
115,울릉도,1971-03,6.8,1.2,42.3,4.5
115,울릉도,1971-04,14.9,6.9,76.9,5.2
115,울릉도,1971-05,19.2,11.8,110.9,5.1
115,울릉도,1971-06,21.8,15.8,85.5,3.9
115,울릉도,1971-07,26.3,20.6,82.6,4.2
115,울릉도,1971-08,25.6,19.7,99.3,4.2
115,울릉도,1971-09,22.9,17.1,38.6,3.2
115,울릉도,1971-10,18.2,11.7,15.8,3.5
115,울릉도,1971-11,14.2,8,46.5,3.6
115,울릉도,1971-12,7.6,1.8,24.6,5.1
115,울릉도,1972-01,6.6,1.4,136.6,4.6
115,울릉도,1972-02,4.3,-.4,79.3,4.3
115,울릉도,1972-03,8.5,2.7,180.4,5
115,울릉도,1972-04,13.6,7.6,69.3,5.3
115,울릉도,1972-05,17.5,11.2,127.2,5.1
115,울릉도,1972-06,22.7,16.2,54.7,4.6
115,울릉도,1972-07,25.6,19.9,147.9,4
115,울릉도,1972-08,26.3,20.4,158.4,4.9
115,울릉도,1972-09,22.3,16.4,177.6,3.9
115,울릉도,1972-10,19,12.8,40.6,4.1
115,울릉도,1972-11,12,5.9,106.4,4.4
115,울릉도,1972-12,8.5,2.3,57.5,3.8
115,울릉도,1973-01,5.8,.8,111.7,4.3
115,울릉도,1973-02,6.4,.3,47.8,3.6
115,울릉도,1973-03,8.1,1.8,8.5,4.2
115,울릉도,1973-04,16.2,9.1,46.9,6
115,울릉도,1973-05,18.4,12.4,113.7,5.8
115,울릉도,1973-06,20.9,15.4,90.5,3.1
115,울릉도,1973-07,27.9,22,62,4
115,울릉도,1973-08,29,22.8,36.2,4.4
115,울릉도,1973-09,23.6,17.1,118.7,3.4
115,울릉도,1973-10,17.5,12.1,98.1,4
115,울릉도,1973-11,11.6,5.2,88.6,5.3
115,울릉도,1973-12,5.5,-.9,52,4.5
115,울릉도,1974-01,3.1,-1.6,44.2,4.3
115,울릉도,1974-02,3.3,-2,41.5,5.4
115,울릉도,1974-03,8.1,1.4,30.7,4.7
115,울릉도,1974-04,13.5,6.2,172.4,6.9
115,울릉도,1974-05,19.5,11.7,149.5,5.9
115,울릉도,1974-06,22.3,15.2,76.5,4.3
115,울릉도,1974-07,22.1,17.7,145.9,3.4
115,울릉도,1974-08,26.6,21,64.5,4.8
115,울릉도,1974-09,23.3,16.8,47.1,3.9
115,울릉도,1974-10,18.6,11.7,45.7,4.1
115,울릉도,1974-11,11.7,5,42.5,4.4
115,울릉도,1974-12,5.9,.5,99.4,3.9
115,울릉도,1975-01,3.7,-1.8,64.7,4.5
115,울릉도,1975-02,3.4,-1.8,64.5,5.2
115,울릉도,1975-03,8.7,1.7,94.6,5.2
115,울릉도,1975-04,14.6,7.6,116.9,5
115,울릉도,1975-05,17.9,11.8,87.4,4.9
115,울릉도,1975-06,21.4,16.1,61.7,3.1
115,울릉도,1975-07,26.1,20.8,102.2,4.7
115,울릉도,1975-08,28,22.2,56,4.5
115,울릉도,1975-09,25.2,19.8,107.4,4
115,울릉도,1975-10,18.1,12.5,86.2,3.9
115,울릉도,1975-11,12.5,7.9,83.7,5.3
115,울릉도,1975-12,6.6,2.1,308.9,4.6
115,울릉도,1976-01,3.8,-1.6,81.3,5.2
115,울릉도,1976-02,6.1,.8,144.8,4.7
115,울릉도,1976-03,8.8,2.3,33,4.3
115,울릉도,1976-04,14.2,7.2,76.1,4.9
115,울릉도,1976-05,18.8,12,25.7,5.3
115,울릉도,1976-06,21.2,15.7,89,3.8
115,울릉도,1976-07,23.6,18.7,118.5,4.5
115,울릉도,1976-08,25.1,20.1,340,4.3
115,울릉도,1976-09,21.6,16.2,123.4,4.8
115,울릉도,1976-10,18.3,12,105.7,4.2
115,울릉도,1976-11,10.8,4.7,212.8,5.2
115,울릉도,1976-12,6.3,1,130.7,4.6
115,울릉도,1977-01,.8,-3.4,189.6,4.5
115,울릉도,1977-02,3,-2.3,117.4,5.5
115,울릉도,1977-03,8.8,1.8,104.6,5.3
115,울릉도,1977-04,14.2,6.6,122.3,5.6
115,울릉도,1977-05,18.3,11.7,38.7,5.3
115,울릉도,1977-06,21,15.3,42.9,3.7
115,울릉도,1977-07,26.8,21.3,58.3,3.4
115,울릉도,1977-08,25.1,20.3,119.5,3.9
115,울릉도,1977-09,23.4,17.7,140.1,2.8
115,울릉도,1977-10,20.9,14.5,63.5,3.4
115,울릉도,1977-11,13.2,7.5,113.6,4.3
115,울릉도,1977-12,9.1,4.1,100.3,3.7
115,울릉도,1978-01,4.7,-1.1,142,4.5
115,울릉도,1978-02,2.5,-2.4,151.7,4.1
115,울릉도,1978-03,9,2.3,107.9,4.2
115,울릉도,1978-04,15.1,8,27.8,6.2
115,울릉도,1978-05,20.7,12.7,20.6,4.6
115,울릉도,1978-06,22.4,16.8,207.6,5.3
115,울릉도,1978-07,27.6,22.2,79,4.1
115,울릉도,1978-08,28.2,22.8,264.9,4.7
115,울릉도,1978-09,23.1,17.8,120.8,3.8
115,울릉도,1978-10,18.8,12.1,101.5,4.6
115,울릉도,1978-11,13.7,7.8,76,3.8
115,울릉도,1978-12,9.5,3.5,84.6,5.5
115,울릉도,1979-01,6.5,1.2,101.3,5
115,울릉도,1979-02,7,1.2,144.4,5.3
115,울릉도,1979-03,9.4,3.1,75,5
115,울릉도,1979-04,12.4,6.2,131.7,5.6
115,울릉도,1979-05,19.1,11.9,88.6,4.7
115,울릉도,1979-06,22.6,17,236.6,4.8
115,울릉도,1979-07,24.3,19.4,177.9,3.6
115,울릉도,1979-08,25.7,21,92,3.8
115,울릉도,1979-09,22.3,17,338.6,4.1
115,울릉도,1979-10,19.6,13.5,75.1,4.5
115,울릉도,1979-11,13.6,7,123.5,4
115,울릉도,1979-12,9.8,3.9,41.8,4
115,울릉도,1980-01,3.9,-1.5,110,4.5
115,울릉도,1980-02,2.7,-2,75.9,3.8
115,울릉도,1980-03,8.3,2.1,66.8,4.2
115,울릉도,1980-04,12.3,5.6,83.1,5.8
115,울릉도,1980-05,18.9,12.4,120,6.7
115,울릉도,1980-06,23,16.9,155.3,4.6
115,울릉도,1980-07,22.5,18,81.3,4.1
115,울릉도,1980-08,21.8,18.1,182.8,3.8
115,울릉도,1980-09,21.9,15.9,150.4,4.2
115,울릉도,1980-10,16.9,10.8,150,4.2
115,울릉도,1980-11,14.4,7.6,72.4,4.5
115,울릉도,1980-12,4.9,-.7,112.7,4.4
